1959-01-01 142.2
1959-02-01 139.3
1959-03-01 138.4
1959-04-01 139.7
1959-05-01 138.7
1959-06-01 139.4
1959-07-01 140.3
1959-08-01 140
1959-09-01 140.4
1959-10-01 140.7
1959-11-01 141.8
1959-12-01 143.6
1960-01-01 143.3
1960-02-01 139.8
1960-03-01 138.5
1960-04-01 139.7
1960-05-01 137.6
1960-06-01 137.9
1960-07-01 138.9
1960-08-01 139.4
1960-09-01 140.5
1960-10-01 141.2
1960-11-01 142.3
1960-12-01 144.5
1961-01-01 144.5
1961-02-01 141.6
1961-03-01 140.6
1961-04-01 142.4
1961-05-01 140.6
1961-06-01 141.2
1961-07-01 141.5
1961-08-01 141.4
1961-09-01 143.1
1961-10-01 144.4
1961-11-01 146.3
1961-12-01 149.2
1962-01-01 148.9
1962-02-01 145.6
1962-03-01 144.6
1962-04-01 146.7
1962-05-01 144.5
1962-06-01 144.8
1962-07-01 145
1962-08-01 144.4
1962-09-01 145.5
1962-10-01 147
1962-11-01 148.8
1962-12-01 151.9
1963-01-01 152.1
1963-02-01 148.7
1963-03-01 147.8
1963-04-01 150
1963-05-01 147.9
1963-06-01 148.7
1963-07-01 149.9
1963-08-01 149.5
1963-09-01 151
1963-10-01 152.8
1963-11-01 155.2
1963-12-01 157.5
1964-01-01 157.9
1964-02-01 153.9
1964-03-01 153.1
1964-04-01 155.2
1964-05-01 152.7
1964-06-01 153.9
1964-07-01 155.5
1964-08-01 155.5
1964-09-01 157.8
1964-10-01 159.7
1964-11-01 161.6
1964-12-01 164.9
1965-01-01 165.3
1965-02-01 160.3
1965-03-01 159.9
1965-04-01 162.6
1965-05-01 158.7
1965-06-01 160.5
1965-07-01 161.8
1965-08-01 161.2
1965-09-01 163.9
1965-10-01 166.5
1965-11-01 168.2
1965-12-01 172.6
1966-01-01 173.8
1966-02-01 168.6
1966-03-01 168.7
1966-04-01 172.4
1966-05-01 168
1966-06-01 170
1966-07-01 169.2
1966-08-01 168.3
1966-09-01 171.1
1966-10-01 171.6
1966-11-01 172.9
1966-12-01 176.9
1967-01-01 176.6
1967-02-01 171.6
1967-03-01 172.9
1967-04-01 174.7
1967-05-01 172.3
1967-06-01 175.6
1967-07-01 177.2
1967-08-01 177.2
1967-09-01 179.8
1967-10-01 181.9
1967-11-01 183.8
1967-12-01 188.4
1968-01-01 189.2
1968-02-01 183
1968-03-01 183.5
1968-04-01 187.3
1968-05-01 184.6
1968-06-01 188.2
1968-07-01 189.8
1968-08-01 189.5
1968-09-01 191.9
1968-10-01 194.2
1968-11-01 197.6
1968-12-01 202.8
1969-01-01 203.8
1969-02-01 197.3
1969-03-01 197.8
1969-04-01 201.5
1969-05-01 197.4
1969-06-01 200.2
1969-07-01 201.2
1969-08-01 199.5
1969-09-01 201.2
1969-10-01 202.9
1969-11-01 205
1969-12-01 209.3
1970-01-01 210.8
1970-02-01 202
1970-03-01 203.5
1970-04-01 208.1
1970-05-01 204.3
1970-06-01 206.9
1970-07-01 208.1
1970-08-01 208
1970-09-01 210.8
1970-10-01 212.3
1970-11-01 214.5
1970-12-01 220.1
1971-01-01 220.4
1971-02-01 214.3
1971-03-01 216.4
1971-04-01 221.4
1971-05-01 218.8
1971-06-01 222.9
1971-07-01 225.1
1971-08-01 223.6
1971-09-01 225.4
1971-10-01 226.6
1971-11-01 228.8
1971-12-01 234.5
1972-01-01 235
1972-02-01 228.9
1972-03-01 231.7
1972-04-01 236.9
1972-05-01 232.2
1972-06-01 236.1
1972-07-01 239.1
1972-08-01 238.7
1972-09-01 241.9
1972-10-01 244.2
1972-11-01 247.7
1972-12-01 256.1
1973-01-01 256.4
1973-02-01 248.4
1973-03-01 248.8
1973-04-01 254
1973-05-01 250.8
1973-06-01 256.4
1973-07-01 258.1
1973-08-01 255.6
1973-09-01 256.5
1973-10-01 258.3
1973-11-01 262.7
1973-12-01 270.2
1974-01-01 268.6
1974-02-01 261.1
1974-03-01 263.5
1974-04-01 268.5
1974-05-01 263.3
1974-06-01 268.3
1974-07-01 270.1
1974-08-01 268.1
1974-09-01 269.7
1974-10-01 271.7
1974-11-01 275.7
1974-12-01 281.8
1975-01-01 278.5
1975-02-01 269.9
1975-03-01 272.9
1975-04-01 277.7
1975-05-01 274.4
1975-06-01 282.3
1975-07-01 284.4
1975-08-01 282.7
1975-09-01 284.3
1975-10-01 284.9
1975-11-01 289.9
1975-12-01 295.3
1976-01-01 293.2
1976-02-01 285.3
1976-03-01 287.7
1976-04-01 296.1
1976-05-01 291.3
1976-06-01 295.6
1976-07-01 298.4
1976-08-01 297.1
1976-09-01 298.6
1976-10-01 302.9
1976-11-01 305.7
1976-12-01 314.5
1977-01-01 313.6
1977-02-01 304.9
1977-03-01 308.2
1977-04-01 318.6
1977-05-01 311.6
1977-06-01 317.7
1977-07-01 322.2
1977-08-01 320.2
1977-09-01 323.7
1977-10-01 327.9
1977-11-01 331.4
1977-12-01 340
1978-01-01 339.3
1978-02-01 327.9
1978-03-01 330.8
1978-04-01 343.4
1978-05-01 338.2
1978-06-01 345.2
1978-07-01 349.5
1978-08-01 347.5
1978-09-01 352.7
1978-10-01 354.9
1978-11-01 358.5
1978-12-01 367.9
1979-01-01 363.3
1979-02-01 351.7
1979-03-01 356.1
1979-04-01 371.3
1979-05-01 362.2
1979-06-01 371.9
1979-07-01 378.4
1979-08-01 376.9
1979-09-01 380.5
1979-10-01 382.6
1979-11-01 384.4
1979-12-01 393.2
1980-01-01 390.4
1980-02-01 380.8
1980-03-01 382.2
1980-04-01 386.7
1980-05-01 377.8
1980-06-01 387.3
1980-07-01 394.6
1980-08-01 398.3
1980-09-01 404.7
1980-10-01 410.7
1980-11-01 415.8
1980-12-01 419.5
1981-01-01 416.4
1981-02-01 405.5
1981-03-01 412.2
1981-04-01 431
1981-05-01 418.5
1981-06-01 422.8
1981-07-01 427.7
1981-08-01 425.9
1981-09-01 427
1981-10-01 429.7
1981-11-01 435.1
1981-12-01 447
1982-01-01 448.4
1982-02-01 432.4
1982-03-01 435.6
1982-04-01 451.1
1982-05-01 440.9
1982-06-01 446.2
1982-07-01 449.5
1982-08-01 449.8
1982-09-01 456.2
1982-10-01 465.7
1982-11-01 474.4
1982-12-01 485.8
1983-01-01 482.8
1983-02-01 474.2
1983-03-01 482.7
1983-04-01 498.6
1983-05-01 493.9
1983-06-01 503.5
1983-07-01 510.5
1983-08-01 508.2
1983-09-01 511.4
1983-10-01 517.2
1983-11-01 521.8
1983-12-01 533.3
1984-01-01 530.2
1984-02-01 516.9
1984-03-01 523.2
1984-04-01 539.9
1984-05-01 530.7
1984-06-01 541.4
1984-07-01 543.3
1984-08-01 539
1984-09-01 542.5
1984-10-01 542.2
1984-11-01 549.8
1984-12-01 564.6
1985-01-01 561.1
1985-02-01 551.9
1985-03-01 558.4
1985-04-01 575.1
1985-05-01 569.3
1985-06-01 585.2
1985-07-01 592
1985-08-01 594.9
1985-09-01 602
1985-10-01 605.3
1985-11-01 614.9
1985-12-01 633.3
1986-01-01 626.6
1986-02-01 612.8
1986-03-01 624.3
1986-04-01 647
1986-05-01 645.7
1986-06-01 662.8
1986-07-01 673.4
1986-08-01 678.4
1986-09-01 684.5
1986-10-01 692.2
1986-11-01 708.8
1986-12-01 739.8
1987-01-01 737.1
1987-02-01 717.1
1987-03-01 723.1
1987-04-01 752
1987-05-01 739.3
1987-06-01 743.8
1987-07-01 746.2
1987-08-01 744.2
1987-09-01 744.5
1987-10-01 753.2
1987-11-01 755.5
1987-12-01 765.4
1988-01-01 764.2
1988-02-01 744.5
1988-03-01 751.6
1988-04-01 777.9
1988-05-01 763.4
1988-06-01 778.5
1988-07-01 785.5
1988-08-01 781
1988-09-01 779.7
1988-10-01 780.8
1988-11-01 786.9
1988-12-01 803.1
1989-01-01 792.1
1989-02-01 771.6
1989-03-01 774.6
1989-04-01 790.2
1989-05-01 766.1
1989-06-01 772.8
1989-07-01 780.7
1989-08-01 776.5
1989-09-01 777.7
1989-10-01 783.2
1989-11-01 790.2
1989-12-01 810.6
1990-01-01 800.7
1990-02-01 786.7
1990-03-01 794.5
1990-04-01 816.2
1990-05-01 795.5
1990-06-01 809
1990-07-01 811
1990-08-01 812.7
1990-09-01 817.1
1990-10-01 816.1
1990-11-01 824.6
1990-12-01 842.7
1991-01-01 831.7
1991-02-01 822.1
1991-03-01 833.7
1991-04-01 851.9
1991-05-01 840.3
1991-06-01 856.7
1991-07-01 860.9
1991-08-01 863.2
1991-09-01 865.4
1991-10-01 874
1991-11-01 892.3
1991-12-01 915.6
1992-01-01 916.4
1992-02-01 915.1
1992-03-01 929.6
1992-04-01 953.7
1992-05-01 942.9
1992-06-01 951
1992-07-01 962
1992-08-01 970.1
1992-09-01 982.7
1992-10-01 1000.8
1992-11-01 1021.4
1992-12-01 1045.6
1993-01-01 1039.8
1993-02-01 1021.9
1993-03-01 1030.5
1993-04-01 1057.4
1993-05-01 1056.8
1993-06-01 1071.8
1993-07-01 1083.1
1993-08-01 1088.1
1993-09-01 1098.8
1993-10-01 1111.6
1993-11-01 1129
1993-12-01 1153.3
1994-01-01 1141.7
1994-02-01 1123.8
1994-03-01 1131.1
1994-04-01 1152.2
1994-05-01 1132
1994-06-01 1141.8
1994-07-01 1150.9
1994-08-01 1144.1
